"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"No","2018","Bremen","direct migration background","96","0.669205188378468","0.588941313962491","0.749469062794444"
"No","2018","Bremen","indirect migration background","3","","",""
"No","2018","North Rhine-Westphalia","no migration background","2","","",""
"No","2018","North Rhine-Westphalia","direct migration background","1495","0.627703714544957","0.607018165625543","0.648389263464371"
"No","2018","North Rhine-Westphalia","indirect migration background","119","0.272979900916843","0.234908946578134","0.311050855255552"
"No","2018","Hesse","no migration background","","","",""
"No","2018","Hesse","direct migration background","670","0.772459617617986","0.743694235613727","0.801224999622244"
"No","2018","Hesse","indirect migration background","26","","",""
"No","2018","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2018","Rhineland-Palatinate,Saarland","direct migration background","429","0.631530481077193","0.592101812624598","0.670959149529787"
"No","2018","Rhineland-Palatinate,Saarland","indirect migration background","15","","",""
"No","2018","Baden-Württemberg","no migration background","2","","",""
"No","2018","Baden-Württemberg","direct migration background","754","0.657137448563725","0.628036256578875","0.686238640548575"
"No","2018","Baden-Württemberg","indirect migration background","53","0.262839423552499","0.208706991900694","0.316971855204304"
"No","2018","Bavaria","no migration background","3","","",""
"No","2018","Bavaria","direct migration background","859","0.711770876294565","0.686154622054309","0.737387130534821"
"No","2018","Bavaria","indirect migration background","44","0.265047667810231","0.212107655237905","0.317987680382557"
"No","2018","Berlin","no migration background","","","",""
"No","2018","Berlin","direct migration background","268","0.748407349025802","0.70130340325814","0.795511294793463"
"No","2018","Berlin","indirect migration background","15","","",""
"No","2018","Brandenburg","no migration background","","","",""
"No","2018","Brandenburg","direct migration background","165","0.625923834661041","0.560787858805934","0.691059810516149"
"No","2018","Brandenburg","indirect migration background","","","",""
"No","2018","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2018","Mecklenburg-Western Pomerania","direct migration background","61","0.781722489395809","0.684256219661944","0.879188759129675"
"No","2018","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2018","Saxony","no migration background","","","",""
"No","2018","Saxony","direct migration background","172","0.776919852511496","0.719366764149546","0.834472940873447"
"No","2018","Saxony","indirect migration background","3","","",""
"No","2018","Saxony-Anhalt","no migration background","","","",""
"No","2018","Saxony-Anhalt","direct migration background","122","0.830624383187381","0.768269786622742","0.892978979752019"
"No","2018","Saxony-Anhalt","indirect migration background","4","","",""
"No","2018","Thuringia","no migration background","","","",""
"No","2018","Thuringia","direct migration background","143","0.854846876632055","0.800603347042632","0.909090406221477"
"No","2018","Thuringia","indirect migration background","1","","",""
"Yes","2019","Schleswig-Holstein","no migration background","783","1","1","1"
"Yes","2019","Schleswig-Holstein","direct migration background","60","0.221210106467222","0.175228032244584","0.267192180689859"
"Yes","2019","Schleswig-Holstein","indirect migration background","48","0.616393340548156","0.489035374240596","0.743751306855717"
"Yes","2019","Hamburg","no migration background","378","0.98971070223041","0.97955112848274","0.99987027597808"
"Yes","2019","Hamburg","direct migration background","55","0.343674886712464","0.275421370612063","0.411928402812865"
"Yes","2019","Hamburg","indirect migration background","48","0.888473790827694","0.802916465360579","0.974031116294809"
"Yes","2019","Lower Saxony","no migration background","2007","1","1","1"
"Yes","2019","Lower Saxony","direct migration background","200","0.351564808658223","0.317507478344416","0.385622138972029"
"Yes","2019","Lower Saxony","indirect migration background","106","0.703800448979195","0.625314234546823","0.782286663411566"
"Yes","2019","Bremen","no migration background","147","1","1","1"
"Yes","2019","Bremen","direct migration background","29","","",""
"Yes","2019","Bremen","indirect migration background","13","","",""
"Yes","2019","North Rhine-Westphalia","no migration background","3856","0.999034085286147","0.998054112574493","1.0000140579978"
"Yes","2019","North Rhine-Westphalia","direct migration background","536","0.339546822059401","0.318364755476891","0.360728888641911"
"Yes","2019","North Rhine-Westphalia","indirect migration background","414","0.730800385246217","0.692418525926218","0.769182244566216"
"Yes","2019","Hesse","no migration background","1301","1","1","1"
"Yes","2019","Hesse","direct migration background","132","0.228676790005274","0.195430200793067","0.26192337921748"
"Yes","2019","Hesse","indirect migration background","108","0.718319528159539","0.640995651166908","0.795643405152169"
"Yes","2019","Rhineland-Palatinate,Saarland","no migration background","1060","1","1","1"
"Yes","2019","Rhineland-Palatinate,Saarland","direct migration background","143","0.376378220957535","0.33437229906956","0.41838414284551"
"Yes","2019","Rhineland-Palatinate,Saarland","indirect migration background","90","0.894454312230382","0.835402837285475","0.95350578717529"
"Yes","2019","Baden-Württemberg","no migration background","2056","0.999673238366673","0.998892384135484","1.00045409259786"
"Yes","2019","Baden-Württemberg","direct migration background","256","0.337250483036391","0.307075763318952","0.36742520275383"
"Yes","2019","Baden-Württemberg","indirect migration background","209","0.782880891099856","0.732078435992065","0.833683346207647"
"Yes","2019","Bavaria","no migration background","3051","0.998405292936184","0.996990358292661","0.999820227579707"
"Yes","2019","Bavaria","direct migration background","321","0.296666038854937","0.269818133513312","0.323513944196563"
"Yes","2019","Bavaria","indirect migration background","235","0.731450221593318","0.678682513356747","0.784217929829889"
"Yes","2019","Berlin","no migration background","819","1","1","1"
"Yes","2019","Berlin","direct migration background","54","0.274265567668691","0.221631363797746","0.326899771539635"
"Yes","2019","Berlin","indirect migration background","58","0.696611450171868","0.589677942232912","0.803544958110825"
"Yes","2019","Brandenburg","no migration background","1014","1","1","1"
"Yes","2019","Brandenburg","direct migration background","42","0.23069131254446","0.169985795116583","0.291396829972336"
"Yes","2019","Brandenburg","indirect migration background","24","","",""
"Yes","2019","Mecklenburg-Western Pomerania","no migration background","581","1","1","1"
"Yes","2019","Mecklenburg-Western Pomerania","direct migration background","8","","",""
"Yes","2019","Mecklenburg-Western Pomerania","indirect migration background","15","","",""
"Yes","2019","Saxony","no migration background","1553","1","1","1"
"Yes","2019","Saxony","direct migration background","31","0.289589470770744","0.221805041147437","0.357373900394052"
"Yes","2019","Saxony","indirect migration background","31","0.88467474149422","0.778854657687996","0.990494825300444"
"Yes","2019","Saxony-Anhalt","no migration background","836","1","1","1"
"Yes","2019","Saxony-Anhalt","direct migration background","17","","",""
"Yes","2019","Saxony-Anhalt","indirect migration background","17","","",""
"Yes","2019","Thuringia","no migration background","857","1","1","1"
"Yes","2019","Thuringia","direct migration background","16","","",""
"Yes","2019","Thuringia","indirect migration background","18","","",""
"No","2019","Schleswig-Holstein","no migration background","","","",""
"No","2019","Schleswig-Holstein","direct migration background","253","0.778789893532778","0.732807819310141","0.824771967755416"
"No","2019","Schleswig-Holstein","indirect migration background","8","","",""
"No","2019","Hamburg","no migration background","1","","",""
"No","2019","Hamburg","direct migration background","131","0.656325113287536","0.588071597187135","0.724578629387937"
"No","2019","Hamburg","indirect migration background","4","","",""
"No","2019","Lower Saxony","no migration background","","","",""
"No","2019","Lower Saxony","direct migration background","555","0.648435191341778","0.614377861027971","0.682492521655584"
"No","2019","Lower Saxony","indirect migration background","24","","",""
"No","2019","Bremen","no migration background","","","",""
"No","2019","Bremen","direct migration background","94","0.695912668446442","0.614616126944495","0.777209209948389"
"No","2019","Bremen","indirect migration background","3","","",""
"No","2019","North Rhine-Westphalia","no migration background","4","","",""
"No","2019","North Rhine-Westphalia","direct migration background","1384","0.660453177940599","0.639271111358089","0.681635244523109"
"No","2019","North Rhine-Westphalia","indirect migration background","99","0.269199614753783","0.230817755433784","0.307581474073782"
"No","2019","Hesse","no migration background","","","",""
"No","2019","Hesse","direct migration background","481","0.771323209994727","0.73807662078252","0.804569799206933"
"No","2019","Hesse","indirect migration background","22","","",""
"No","2019","Rhineland-Palatinate,Saarland","no migration background","","","",""
