"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2006","Schleswig-Holstein","middle vocational","38","0.231541329053712","0.167565728112468","0.295516929994957"
"Yes","2006","Schleswig-Holstein","vocational + Abi","5","","",""
"Yes","2006","Schleswig-Holstein","higher vocational","12","","",""
"Yes","2006","Schleswig-Holstein","higher education","33","0.368012011505681","0.262987422524879","0.473036600486483"
"Yes","2006","Hamburg","in school","","","",""
"Yes","2006","Hamburg","inadequately","","","",""
"Yes","2006","Hamburg","general elemantary","1","","",""
"Yes","2006","Hamburg","middle vocational","8","","",""
"Yes","2006","Hamburg","vocational + Abi","1","","",""
"Yes","2006","Hamburg","higher vocational","1","","",""
"Yes","2006","Hamburg","higher education","19","","",""
"Yes","2006","Lower Saxony","in school","","","",""
"Yes","2006","Lower Saxony","inadequately","","","",""
"Yes","2006","Lower Saxony","general elemantary","9","","",""
"Yes","2006","Lower Saxony","middle vocational","108","0.240424452548424","0.203336077284651","0.277512827812197"
"Yes","2006","Lower Saxony","vocational + Abi","17","","",""
"Yes","2006","Lower Saxony","higher vocational","30","0.335479859936502","0.237386324331547","0.433573395541458"
"Yes","2006","Lower Saxony","higher education","89","0.426448384621217","0.359717581175796","0.493179188066638"
"Yes","2006","Bremen","in school","","","",""
"Yes","2006","Bremen","inadequately","","","",""
"Yes","2006","Bremen","general elemantary","2","","",""
"Yes","2006","Bremen","middle vocational","7","","",""
"Yes","2006","Bremen","vocational + Abi","","","",""
"Yes","2006","Bremen","higher vocational","1","","",""
"Yes","2006","Bremen","higher education","13","","",""
"Yes","2006","North Rhine-Westphalia","in school","","","",""
"Yes","2006","North Rhine-Westphalia","inadequately","4","","",""
"Yes","2006","North Rhine-Westphalia","general elemantary","28","","",""
"Yes","2006","North Rhine-Westphalia","middle vocational","260","0.237246560142396","0.211577266931597","0.262915853353194"
"Yes","2006","North Rhine-Westphalia","vocational + Abi","42","0.194163010593013","0.142246857148402","0.246079164037625"
"Yes","2006","North Rhine-Westphalia","higher vocational","68","0.300359992028459","0.236183139267626","0.364536844789292"
"Yes","2006","North Rhine-Westphalia","higher education","251","0.377063474659064","0.338219234574368","0.415907714743759"
"Yes","2006","Hesse","in school","","","",""
"Yes","2006","Hesse","inadequately","","","",""
"Yes","2006","Hesse","general elemantary","10","","",""
"Yes","2006","Hesse","middle vocational","80","0.191897625515949","0.152407873957586","0.231387377074313"
"Yes","2006","Hesse","vocational + Abi","11","","",""
"Yes","2006","Hesse","higher vocational","20","","",""
"Yes","2006","Hesse","higher education","85","0.272614567828118","0.217958947209844","0.327270188446393"
"Yes","2006","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","general elemantary","10","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","middle vocational","87","0.236581284650886","0.192310414912953","0.280852154388818"
"Yes","2006","Rhineland-Palatinate,Saarland","vocational + Abi","12","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","higher vocational","21","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","higher education","59","0.40261856042467","0.316298843625191","0.488938277224149"
"Yes","2006","Baden-Württemberg","in school","","","",""
"Yes","2006","Baden-Württemberg","inadequately","2","","",""
"Yes","2006","Baden-Württemberg","general elemantary","24","","",""
"Yes","2006","Baden-Württemberg","middle vocational","124","0.188063043281584","0.158496556996595","0.217629529566573"
"Yes","2006","Baden-Württemberg","vocational + Abi","22","","",""
"Yes","2006","Baden-Württemberg","higher vocational","31","0.267617996648066","0.196292677607185","0.338943315688947"
"Yes","2006","Baden-Württemberg","higher education","120","0.324867132642754","0.276081271737074","0.373652993548434"
"Yes","2006","Bavaria","in school","","","",""
"Yes","2006","Bavaria","inadequately","2","","",""
"Yes","2006","Bavaria","general elemantary","24","","",""
"Yes","2006","Bavaria","middle vocational","173","0.172354197212793","0.14770640564785","0.197001988777735"
"Yes","2006","Bavaria","vocational + Abi","22","","",""
"Yes","2006","Bavaria","higher vocational","36","0.221220460155559","0.152465507801429","0.289975412509688"
"Yes","2006","Bavaria","higher education","130","0.255281362747279","0.212552261170547","0.298010464324012"
"Yes","2006","Berlin","in school","","","",""
"Yes","2006","Berlin","inadequately","","","",""
"Yes","2006","Berlin","general elemantary","3","","",""
"Yes","2006","Berlin","middle vocational","44","0.291802821195789","0.219771029901522","0.363834612490057"
"Yes","2006","Berlin","vocational + Abi","6","","",""
"Yes","2006","Berlin","higher vocational","11","","",""
"Yes","2006","Berlin","higher education","61","0.404963987391798","0.329605162750942","0.480322812032655"
"Yes","2006","Brandenburg","in school","","","",""
"Yes","2006","Brandenburg","inadequately","","","",""
"Yes","2006","Brandenburg","general elemantary","3","","",""
"Yes","2006","Brandenburg","middle vocational","44","0.245317635306141","0.18523327198102","0.305401998631261"
"Yes","2006","Brandenburg","vocational + Abi","2","","",""
"Yes","2006","Brandenburg","higher vocational","17","","",""
"Yes","2006","Brandenburg","higher education","66","0.425290578121362","0.346695864410762","0.503885291831963"
"Yes","2006","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2006","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2006","Mecklenburg-Western Pomerania","general elemantary","2","","",""
"Yes","2006","Mecklenburg-Western Pomerania","middle vocational","30","0.238859050540061","0.164111583702735","0.313606517377386"
"Yes","2006","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","2006","Mecklenburg-Western Pomerania","higher vocational","6","","",""
"Yes","2006","Mecklenburg-Western Pomerania","higher education","40","0.380393016348293","0.278959571629322","0.481826461067264"
"Yes","2006","Saxony","in school","","","",""
"Yes","2006","Saxony","inadequately","","","",""
"Yes","2006","Saxony","general elemantary","8","","",""
"Yes","2006","Saxony","middle vocational","73","0.176223922563752","0.137505857885353","0.21494198724215"
"Yes","2006","Saxony","vocational + Abi","10","","",""
"Yes","2006","Saxony","higher vocational","21","","",""
"Yes","2006","Saxony","higher education","89","0.335163494648403","0.27568962563048","0.394637363666325"
"Yes","2006","Saxony-Anhalt","in school","1","","",""
"Yes","2006","Saxony-Anhalt","inadequately","","","",""
"Yes","2006","Saxony-Anhalt","general elemantary","3","","",""
"Yes","2006","Saxony-Anhalt","middle vocational","27","","",""
"Yes","2006","Saxony-Anhalt","vocational + Abi","9","","",""
"Yes","2006","Saxony-Anhalt","higher vocational","11","","",""
"Yes","2006","Saxony-Anhalt","higher education","72","0.507390868102835","0.426016684882216","0.588765051323454"
"Yes","2006","Thuringia","in school","","","",""
"Yes","2006","Thuringia","inadequately","","","",""
"Yes","2006","Thuringia","general elemantary","2","","",""
"Yes","2006","Thuringia","middle vocational","46","0.192481677914988","0.143708380186648","0.241254975643328"
"Yes","2006","Thuringia","vocational + Abi","3","","",""
"Yes","2006","Thuringia","higher vocational","6","","",""
"Yes","2006","Thuringia","higher education","54","0.501770384031058","0.411936145221142","0.591604622840973"
"No","2006","Schleswig-Holstein","in school","1","","",""
"No","2006","Schleswig-Holstein","inadequately","2","","",""
"No","2006","Schleswig-Holstein","general elemantary","19","","",""
"No","2006","Schleswig-Holstein","middle vocational","129","0.768458670946288","0.704483070005043","0.832434271887532"
"No","2006","Schleswig-Holstein","vocational + Abi","20","","",""
"No","2006","Schleswig-Holstein","higher vocational","24","","",""
"No","2006","Schleswig-Holstein","higher education","48","0.631987988494319","0.526963399513517","0.737012577475121"
"No","2006","Hamburg","in school","1","","",""
"No","2006","Hamburg","inadequately","","","",""
"No","2006","Hamburg","general elemantary","5","","",""
"No","2006","Hamburg","middle vocational","45","0.824887418483508","0.722566089737406","0.927208747229609"
"No","2006","Hamburg","vocational + Abi","16","","",""
"No","2006","Hamburg","higher vocational","9","","",""
"No","2006","Hamburg","higher education","35","0.70559939425595","0.584036883795095","0.827161904716805"
"No","2006","Lower Saxony","in school","5","","",""
"No","2006","Lower Saxony","inadequately","7","","",""
"No","2006","Lower Saxony","general elemantary","60","0.851886615046836","0.768073574411065","0.935699655682607"
"No","2006","Lower Saxony","middle vocational","402","0.759575547451576","0.722487172187803","0.796663922715349"
"No","2006","Lower Saxony","vocational + Abi","60","0.8308114203795","0.747070162622259","0.914552678136741"
"No","2006","Lower Saxony","higher vocational","59","0.664520140063498","0.566426604458542","0.762613675668453"
"No","2006","Lower Saxony","higher education","122","0.573551615378783","0.506820811933362","0.640282418824204"
"No","2006","Bremen","in school","","","",""
"No","2006","Bremen","inadequately","","","",""
"No","2006","Bremen","general elemantary","2","","",""
"No","2006","Bremen","middle vocational","25","","",""
"No","2006","Bremen","vocational + Abi","7","","",""
"No","2006","Bremen","higher vocational","2","","",""
"No","2006","Bremen","higher education","11","","",""
"No","2006","North Rhine-Westphalia","in school","7","","",""
"No","2006","North Rhine-Westphalia","inadequately","15","","",""
"No","2006","North Rhine-Westphalia","general elemantary","142","0.85746671485712","0.804914573974899","0.910018855739342"
"No","2006","North Rhine-Westphalia","middle vocational","795","0.762753439857604","0.737084146646806","0.788422733068403"
"No","2006","North Rhine-Westphalia","vocational + Abi","181","0.805836989406987","0.753920835962375","0.857753142851598"
"No","2006","North Rhine-Westphalia","higher vocational","128","0.699640007971541","0.635463155210708","0.763816860732374"
"No","2006","North Rhine-Westphalia","higher education","347","0.622936525340936","0.584092285256241","0.661780765425632"
"No","2006","Hesse","in school","2","","",""
"No","2006","Hesse","inadequately","2","","",""
"No","2006","Hesse","general elemantary","49","0.863773087479783","0.776243803377955","0.951302371581611"
"No","2006","Hesse","middle vocational","302","0.808102374484051","0.768612622925687","0.847592126042414"
"No","2006","Hesse","vocational + Abi","48","0.699237913898147","0.582221680758533","0.816254147037761"
"No","2006","Hesse","higher vocational","43","0.733582225708575","0.62441712639027","0.842747325026881"
"No","2006","Hesse","higher education","170","0.727385432171882","0.672729811553607","0.782041052790156"
"No","2006","Rhineland-Palatinate,Saarland","in school","1","","",""
"No","2006","Rhineland-Palatinate,Saarland","inadequately","6","","",""
"No","2006","Rhineland-Palatinate,Saarland","general elemantary","56","0.879375884429217","0.800801593585962","0.957950175272472"
"No","2006","Rhineland-Palatinate,Saarland","middle vocational","267","0.763418715349114","0.719147845611182","0.807689585087046"
"No","2006","Rhineland-Palatinate,Saarland","vocational + Abi","35","0.689161831806991","0.556841390430166","0.821482273183816"
"No","2006","Rhineland-Palatinate,Saarland","higher vocational","51","0.742135464514407","0.64108943706693","0.843181491961884"
"No","2006","Rhineland-Palatinate,Saarland","higher education","65","0.59738143957533","0.511061722775851","0.683701156374809"
"No","2006","Baden-Württemberg","in school","3","","",""
"No","2006","Baden-Württemberg","inadequately","8","","",""
"No","2006","Baden-Württemberg","general elemantary","119","0.747117165242165","0.675875492975379","0.818358837508952"
"No","2006","Baden-Württemberg","middle vocational","547","0.811936956718416","0.782370470433427","0.841503443003405"
"No","2006","Baden-Württemberg","vocational + Abi","74","0.767207717470194","0.682669469062442","0.851745965877945"
"No","2006","Baden-Württemberg","higher vocational","117","0.732382003351934","0.661056684311053","0.803707322392815"
"No","2006","Baden-Württemberg","higher education","234","0.675132867357246","0.626347006451566","0.723918728262926"
"No","2006","Bavaria","in school","3","","",""
"No","2006","Bavaria","inadequately","6","","",""
"No","2006","Bavaria","general elemantary","107","0.836734347469337","0.7734416426255","0.900027052313174"
"No","2006","Bavaria","middle vocational","729","0.827645802787207","0.802998011222265","0.852293594352149"
"No","2006","Bavaria","vocational + Abi","75","0.774916144716285","0.691804524051314","0.858027765381256"
"No","2006","Bavaria","higher vocational","104","0.778779539844441","0.710024587490312","0.847534492198571"
"No","2006","Bavaria","higher education","270","0.744718637252721","0.701989535675988","0.787447738829453"
